ecosystem,name,version,state_presence,state_status,severity,alert_status,alert_route,scan_finished_ms,last_error
npm,@adminide-stack/clock-tik-browser,12.0.24,present,scanned,malware,sent,default,1785853787909,""
npm,@adminide-stack/yantra-mobile,12.0.33,present,scanned,malware,sent,default,1785853787872,""
npm,@arv-bedrock/auth,1.1.7,present,scanned,malware,sent,default,1785853786326,""
npm,@arv-bedrock/auth,1.1.8,present,scanned,malware,sent,default,1785853787632,""
npm,@arv-bedrock/auth-admin,1.0.2,present,scanned,malware,sent,default,1785853787702,""
npm,@arv-bedrock/auth-admin,1.0.3,present,scanned,malware,sent,default,1785853787591,""
npm,@arv-bedrock/auth-sso,1.6.1,present,scanned,malware,sent,default,1785853787737,""
npm,@arv-bedrock/auth-sso,1.6.2,present,scanned,malware,sent,default,1785853787809,""
npm,@arv-bedrock/auth-sso-backend,1.7.1,present,scanned,malware,sent,default,1785853787772,""
npm,@arv-bedrock/auth-sso-backend,1.7.2,present,scanned,malware,sent,default,1785853787668,""
npm,@arv-bedrock/logger,1.7.1,present,scanned,malware,sent,default,1785853788563,""
npm,@arv-bedrock/logger,1.7.2,present,scanned,malware,sent,default,1785853788684,""
npm,@cacheable/memory,2.2.1,present,scanned,malware,sent,default,1785841827973,""
npm,@cacheable/net,2.1.1,present,scanned,malware,sent,default,1785839416446,""
npm,@cacheable/node-cache,3.1.2,present,scanned,malware,pending,default,1785854236000,""
npm,@cacheable/utils,2.5.1,present,scanned,malware,sent,default,1785841825676,""
npm,@deliveroo/determinator,0.2.1,present,scanned,malware,pending,default,1785854236000,""
npm,@deliveroo/reevent,1.0.1,present,scanned,malware,pending,default,1785854236000,""
npm,@hubsync/web-sdk-react,6.3.10,present,scanned,malware,sent,default,1785853791659,""
npm,@hubsync/web-sdk-react,6.3.11,present,scanned,malware,sent,default,1785853791740,""
npm,@hubsync/web-sdk-react,6.3.12,present,scanned,malware,sent,default,1785853791476,""
npm,@hubsync/web-sdk-react,6.3.13,present,scanned,malware,sent,default,1785853791322,""
npm,@hubsync/web-sdk-react,6.3.14,present,scanned,malware,sent,default,1785853791401,""
npm,@hubsync/web-sdk-react,6.3.15,present,scanned,malware,sent,default,1785853796351,""
npm,@hubsync/web-sdk-react,6.3.16,present,scanned,malware,sent,default,1785853797709,""
npm,@hubsync/web-sdk-react,6.3.17,present,scanned,malware,sent,default,1785853797891,""
npm,@hubsync/web-sdk-react,6.3.18,present,scanned,malware,sent,default,1785853797830,""
npm,@hubsync/web-sdk-react,6.3.19,present,scanned,malware,sent,default,1785853797770,""
npm,@hubsync/web-sdk-react,6.3.20,present,scanned,malware,sent,default,1785853797638,""
npm,@hubsync/web-sdk-react,6.3.21,present,scanned,malware,sent,default,1785853798013,""
npm,@hubsync/web-sdk-react,6.3.22,present,scanned,malware,sent,default,1785853798075,""
npm,@hubsync/web-sdk-react,6.3.23,present,scanned,malware,sent,default,1785853797952,""
npm,@hubsync/web-sdk-react,6.3.24,present,scanned,malware,sent,default,1785853798136,""
npm,@hubsync/web-sdk-react,6.3.25,present,scanned,malware,sent,default,1785853802663,""
npm,@hubsync/web-sdk-react,6.3.26,present,scanned,malware,sent,default,1785853802603,""
npm,@hubsync/web-sdk-react,6.3.27,present,scanned,malware,sent,default,1785853802424,""
npm,@hubsync/web-sdk-react,6.3.28,present,scanned,malware,sent,default,1785853802543,""
npm,@hubsync/web-sdk-react,6.3.29,present,scanned,malware,sent,default,1785853801904,""
npm,@hubsync/web-sdk-react,6.3.30,present,scanned,malware,sent,default,1785853802359,""
npm,@hubsync/web-sdk-react,6.3.31,present,scanned,malware,sent,default,1785853802483,""
npm,@hubsync/web-sdk-react,6.3.32,present,scanned,malware,sent,default,1785853802205,""
npm,@hubsync/web-sdk-react,6.3.33,present,scanned,malware,pending,default,1785854236000,""
npm,@hubsync/web-sdk-react,6.3.7,present,scanned,malware,sent,default,1785853802289,""
npm,@hubsync/web-sdk-react,6.3.8,present,scanned,malware,sent,default,1785853805254,""
npm,@hubsync/web-sdk-react,6.3.9,present,scanned,malware,sent,default,1785853805312,""
npm,@nebula.js/cli,7.1.2,present,scanned,malware,sent,default,1785853803069,""
npm,@nebula.js/cli-build,7.1.2,present,scanned,malware,pending,default,1785854236000,""
npm,@nebula.js/cli-sense,7.1.2,present,scanned,malware,sent,default,1785853803220,""
npm,@nebula.js/cli-serve,7.1.2,present,scanned,malware,sent,default,1785853804748,""
npm,@nebula.js/locale,0.6.2,present,scanned,malware,sent,default,1785853803169,""
npm,@nebula.js/nucleus,0.5.1,present,scanned,malware,pending,default,1785854236000,""
npm,@nebula.js/sn-action-button,2.3.1,present,scanned,malware,sent,default,1785853803729,""
npm,@nebula.js/sn-animator,2.13.1,present,scanned,malware,sent,default,1785853805119,""
npm,@nebula.js/sn-distributionplot,1.0.7,present,scanned,malware,sent,default,1785853806161,""
npm,@nebula.js/sn-layout-container,4.4.1,present,scanned,malware,sent,default,1785853807245,""
npm,@nebula.js/sn-line-chart,2.7.1,present,scanned,malware,sent,default,1785853806051,""
npm,@nebula.js/sn-listbox,0.19.3,present,scanned,malware,sent,default,1785853805875,""
npm,@nebula.js/sn-map,0.12.7,present,scanned,malware,sent,default,1785853808026,""
npm,@nebula.js/sn-nav-menu,0.14.2,present,scanned,malware,sent,default,1785853807591,""
npm,@nebula.js/sn-org-chart,1.7.1,present,scanned,malware,sent,default,1785853806875,""
npm,@nebula.js/sn-shape,1.5.1,present,scanned,malware,sent,default,1785853805814,""
npm,@nebula.js/sn-slider,0.20.1,present,scanned,malware,sent,default,1785853806919,""
npm,@nebula.js/sn-tabbed-container,2.4.1,present,scanned,malware,sent,default,1785853806963,""
npm,@nebula.js/snapshooter,0.6.1,present,scanned,malware,sent,default,1785853808655,""
npm,@nebula.js/stardust,7.1.2,present,scanned,malware,sent,default,1785853809647,""
npm,@nebula.js/test-utils,0.6.1,present,scanned,malware,sent,default,1785853808560,""
npm,@nebula.js/theme,0.6.1,present,scanned,malware,sent,default,1785853808978,""
npm,@onereach/authorizer-helper,0.0.11,present,scanned,malware,sent,default,1785853808407,""
npm,@onereach/authorizer-helper,0.0.12,present,scanned,malware,sent,default,1785853808469,""
npm,@onereach/authorizer-helper,0.0.13,present,scanned,malware,sent,default,1785846529194,""
npm,@onereach/bandwidth-steps-voice-bxml,0.1.1,present,scanned,malware,sent,default,1785853808438,""
npm,@onereach/bandwidth-steps-voice-bxml,0.1.2,present,scanned,malware,sent,default,1785853808374,""
npm,@onereach/bandwidth-steps-voice-bxml,0.1.3,present,scanned,malware,sent,default,1785846496984,""
npm,@onereach/billing-dto,27.2.1,present,scanned,malware,sent,default,1785846790684,""
npm,@onereach/billing-dto,27.2.2,present,scanned,malware,sent,default,1785845832043,""
npm,@onereach/billing-dto,27.2.3,present,scanned,malware,sent,default,1785846596185,""
npm,@onereach/billing-shared,27.2.1,present,scanned,malware,sent,default,1785853808530,""
npm,@onereach/billing-shared,27.2.2,present,scanned,malware,sent,default,1785853808499,""
npm,@onereach/billing-shared,27.2.3,present,scanned,malware,sent,default,1785846766041,""
npm,@onereach/cb-schema-translator,1.3.1,present,scanned,malware,sent,default,1785853810003,""
npm,@onereach/cb-schema-translator,1.3.2,present,scanned,malware,sent,default,1785853810044,""
npm,@onereach/cb-schema-translator,1.3.3,present,scanned,malware,sent,default,1785846674236,""
npm,@onereach/channel-transformer,0.0.66,present,scanned,malware,sent,default,1785853813663,""
npm,@onereach/channel-transformer,0.0.67,present,scanned,malware,sent,default,1785853813484,""
npm,@onereach/channel-transformer,0.0.68,present,scanned,malware,sent,default,1785846698830,""
npm,@onereach/channel-transformers,0.0.5,present,scanned,malware,sent,default,1785853810133,""
npm,@onereach/channel-transformers,0.0.6,present,scanned,malware,sent,default,1785853810090,""
npm,@onereach/channel-transformers,0.0.7,present,scanned,malware,sent,default,1785846596250,""
npm,@onereach/ckeditor5-build-classic,30.0.1,present,scanned,malware,sent,default,1785853810947,""
npm,@onereach/ckeditor5-build-classic,30.0.2,present,scanned,malware,sent,default,1785853810750,""
npm,@onereach/ckeditor5-build-classic,30.0.3,present,scanned,malware,sent,default,1785847063030,""
npm,@onereach/condition-builder,1.0.10,present,scanned,malware,sent,default,1785846975882,""
npm,@onereach/condition-builder,1.0.8,present,scanned,malware,sent,default,1785853811423,""
npm,@onereach/condition-builder,1.0.9,present,scanned,malware,sent,default,1785853811374,""
npm,@onereach/content-builder,0.0.18,present,scanned,malware,sent,default,1785853814126,""
npm,@onereach/content-builder,0.0.19,present,scanned,malware,sent,default,1785853814327,""
npm,@onereach/content-builder,0.0.20,present,scanned,malware,sent,default,1785846674109,""
npm,@onereach/content-builder-template-compiler,0.0.3,present,scanned,malware,sent,default,1785853814084,""
npm,@onereach/content-builder-template-compiler,0.0.4,present,scanned,malware,sent,default,1785853814052,""
npm,@onereach/content-builder-template-compiler,0.0.5,present,scanned,malware,sent,default,1785846512500,""
npm,@onereach/expression-components,9.1.1,present,scanned,malware,sent,default,1785853814223,""
npm,@onereach/expression-components,9.1.2,present,scanned,malware,sent,default,1785853814612,""
npm,@onereach/expression-components,9.1.3,present,scanned,malware,sent,default,1785846694565,""
npm,@onereach/font-icons,27.0.2,present,scanned,malware,sent,default,1785853814161,""
npm,@onereach/font-icons,27.0.3,present,scanned,malware,sent,default,1785853814191,""
npm,@onereach/font-icons,27.0.4,present,scanned,malware,sent,default,1785846615338,""
npm,@onereach/get-version-data,3.1.2,present,scanned,malware,sent,default,1785853814255,""
npm,@onereach/get-version-data,3.1.3,present,scanned,malware,sent,default,1785853814287,""
npm,@onereach/get-version-data,3.1.4,present,scanned,malware,sent,default,1785846496666,""
npm,@onereach/idw-apps,0.1.3,present,scanned,malware,sent,default,1785853815172,""
